球员编号,球员,国家,身高,选秀年,经历时间,学校类型,位置,体重,城市,球队,赛区,分区
precious_achiuwa,Precious Achiuwa,尼日利亚,2米03,2020,1,College,前锋,"102,1 公斤",多伦多,猛龙,东部,大西洋分区
steven_adams,Steven Adams,新西兰,2米11,2013,8,College,中锋,"120,2 公斤",孟菲斯,灰熊,西部,西南分区
bam_adebayo,Bam Adebayo,美国,2米06,2017,4,College,中锋-前锋,"115,7 公斤",迈阿密,热火,东部,东南分区
santi_aldama,Santi Aldama,西班牙,2米11,2021,0,College,前锋-中锋,"97,5 公斤",孟菲斯,灰熊,西部,西南分区
lamarcus_aldridge,LaMarcus Aldridge,美国,2米11,2006,15,College,中锋-前锋,"113,4 公斤",布鲁克林,篮网,东部,大西洋分区
nickeil_alexander-walker,Nickeil Alexander-Walker,加拿大,1米96,2019,2,College,后卫,"93,0 公斤",犹他,爵士,西部,西北分区
grayson_allen,Grayson Allen,美国,1米93,2018,3,College,后卫,"89,8 公斤",密尔沃基,雄鹿,东部,中央分区
jarrett_allen,Jarrett Allen,美国,2.08,2017,4,College,中锋,110.2 公斤,克利夫兰,骑士,东部,中央分区
jose_alvarado,Jose Alvarado,美国,1米83,2021,0,College,后卫,"81,2 公斤",新奥尔良,鹈鹕,西部,西南分区
kyle_anderson,Kyle Anderson,美国,2米06,2014,7,College,前锋-后卫,"104,3 公斤",孟菲斯,灰熊,西部,西南分区
giannis_antetokounmpo,Giannis Antetokounmpo,希腊,2米11,2013,8,International,前锋,"109,8 公斤",密尔沃基,雄鹿,东部,中央分区
thanasis_antetokounmpo,Thanasis Antetokounmpo,希腊,1米98,2014,3,International,前锋,"99,3 公斤",密尔沃基,雄鹿,东部,中央分区
carmelo_anthony,Carmelo Anthony,美国,2.01,2003,18,College,前锋,108.0 公斤,洛杉矶,湖人,西部,太平洋分区
cole_anthony,Cole Anthony,美国,1.90,2020,1,College,后卫,83.9 公斤,奥兰多,魔术,东部,东南分区
og_anunoby,OG Anunoby,英国,2米01,2017,4,College,前锋,"105,2 公斤",多伦多,猛龙,东部,大西洋分区
ryan_arcidiacono,Ryan Arcidiacono,美国,1.90,2016,4,College,后卫,88.5 公斤,纽约,尼克斯,东部,大西洋分区
d.j._augustin,D.J. Augustin,美国,1.80,2008,13,College,后卫,83.0 公斤,洛杉矶,湖人,西部,太平洋分区
deni_avdija,Deni Avdija,以色列,2.06,2020,1,International,前锋,95.3 公斤,华盛顿,奇才,东部,东南分区
deandre_ayton,Deandre Ayton,巴哈马,2米11,2018,3,College,中锋,"113,4 公斤",菲尼克斯,太阳,西部,太平洋分区
udoka_azubuike,Udoka Azubuike,尼日利亚,2米13,2020,1,College,中锋-前锋,"122,5 公斤",犹他,爵士,西部,西北分区
marvin_bagley_iii,Marvin Bagley III,美国,2.11,2018,3,College,前锋,106.6 公斤,底特律,活塞,东部,中央分区
lamelo_ball,LaMelo Ball,美国,2.01,2020,1,International,后卫,81.6 公斤,夏洛特,黄蜂,东部,东南分区
lonzo_ball,Lonzo Ball,美国,1米98,2017,4,College,后卫,"86,2 公斤",芝加哥,公牛,东部,中央分区
mohamed_bamba,Mo Bamba,美国,2.13,2018,3,College,中锋,104.8 公斤,奥兰多,魔术,东部,东南分区
desmond_bane,Desmond Bane,美国,1米96,2020,1,College,后卫,"97,5 公斤",孟菲斯,灰熊,西部,西南分区
dalano_banton,Dalano Banton,加拿大,2米01,2021,0,College,前锋,"92,5 公斤",多伦多,猛龙,东部,大西洋分区
harrison_barnes,Harrison Barnes,美国,2.03,2012,9,College,前锋,102.1 公斤,萨克拉门托,国王,西部,太平洋分区
scottie_barnes,Scottie Barnes,美国,2米01,2021,0,College,前锋,"102,1 公斤",多伦多,猛龙,东部,大西洋分区
rj_barrett,RJ Barrett,加拿大,1.98,2019,2,College,前锋-后卫,97.1 公斤,纽约,尼克斯,东部,大西洋分区
will_barton,Will Barton,美国,1米96,2012,9,College,后卫,"82,1 公斤",丹佛,掘金,西部,西北分区
charles_bassey,Charles Bassey,尼日利亚,2米06,2021,0,College,中锋-前锋,"104,3 公斤",费城,76人,东部,大西洋分区
keita_bates-diop,Keita Bates-Diop,美国,2.03,2018,3,College,前锋,103.9 公斤,圣安东尼奥,马刺,西部,西南分区
nicolas_batum,Nicolas Batum,法国,2.03,2008,13,International,后卫-前锋,104.3 公斤,洛杉矶,快船,西部,太平洋分区
kent_bazemore,Kent Bazemore,美国,1.93,2012,9,College,后卫-前锋,88.5 公斤,洛杉矶,湖人,西部,太平洋分区
darius_bazley,Darius Bazley,美国,2.03,2019,2,High School,前锋,94.3 公斤,俄克拉荷马城,雷霆,西部,西北分区
bradley_beal,Bradley Beal,美国,1.93,2012,9,College,后卫,93.9 公斤,华盛顿,奇才,东部,东南分区
malik_beasley,Malik Beasley,美国,1米93,2016,5,College,后卫,"84,8 公斤",明尼苏达,森林狼,西部,西北分区
davis_bertans,Davis Bertans,拉脱维亚,2米08,2011,5,International,前锋,"102,1 公斤",达拉斯,独行侠,西部,西南分区
patrick_beverley,Patrick Beverley,美国,1米85,2009,9,College,后卫,"81,6 公斤",明尼苏达,森林狼,西部,西北分区
saddiq_bey,Saddiq Bey,美国,2.01,2020,1,College,前锋,97.5 公斤,底特律,活塞,东部,中央分区
khem_birch,Khem Birch,加拿大,2米06,0,4,College,中锋,"105,7 公斤",多伦多,猛龙,东部,大西洋分区
goga_bitadze,Goga Bitadze,格鲁吉亚,2.13,2019,2,International,中锋-前锋,113.4 公斤,印第安纳,步行者,东部,中央分区
bismack_biyombo,Bismack Biyombo,刚果民主共和国,2米03,2011,10,International,中锋,"115,7 公斤",菲尼克斯,太阳,西部,太平洋分区
nemanja_bjelica,Nemanja Bjelica,塞尔维亚,2米06,2010,6,International,前锋,"106,1 公斤",金州,勇士,西部,太平洋分区
eric_bledsoe,Eric Bledsoe,美国,1.85,2010,11,College,后卫,97.1 公斤,波特兰,开拓者,西部,西北分区
keljin_blevins,Keljin Blevins,美国,1.93,2019,1,College,后卫,90.7 公斤,波特兰,开拓者,西部,西北分区
bogdan_bogdanovic,Bogdan Bogdanovic,塞尔维亚,1米98,2014,4,International,后卫,"102,1 公斤",亚特兰大,老鹰,东部,东南分区
bojan_bogdanovic,Bojan Bogdanovic,克罗地亚,2米01,2011,7,International,前锋,"102,5 公斤",犹他,爵士,西部,西北分区
bol_bol,Bol Bol,苏丹,2.18,2019,2,College,中锋-前锋,99.8 公斤,奥兰多,魔术,东部,东南分区
leandro_bolmaro,Leandro Bolmaro,阿根廷,1米98,2020,0,International,前锋,"90,7 公斤",明尼苏达,森林狼,西部,西北分区
isaac_bonga,Isaac Bonga,德国,2米03,2018,3,International,后卫,"81,6 公斤",多伦多,猛龙,东部,大西洋分区
devin_booker,Devin Booker,美国,1米96,2015,6,College,后卫,"93,4 公斤",菲尼克斯,太阳,西部,太平洋分区
brandon_boston_jr,Brandon Boston Jr.,美国,1.98,2021,0,College,后卫,85.3 公斤,洛杉矶,快船,西部,太平洋分区
chris_boucher,Chris Boucher,圣卢西亚,2米06,2017,4,College,前锋-中锋,"90,7 公斤",多伦多,猛龙,东部,大西洋分区
james_bouknight,James Bouknight,美国,1.93,2021,0,College,后卫,86.2 公斤,夏洛特,黄蜂,东部,东南分区
avery_bradley,Avery Bradley,美国,1.90,2010,11,College,后卫,81.6 公斤,洛杉矶,湖人,西部,太平洋分区
tony_bradley,Tony Bradley,美国,2米08,2017,4,College,中锋-前锋,"112,5 公斤",芝加哥,公牛,东部,中央分区
ignas_brazdeikis,Ignas Brazdeikis,加拿大,1.98,2019,2,College,前锋,100.2 公斤,奥兰多,魔术,东部,东南分区
mikal_bridges,Mikal Bridges,美国,1米98,2018,3,College,前锋,"94,8 公斤",菲尼克斯,太阳,西部,太平洋分区
miles_bridges,Miles Bridges,美国,2.01,2018,3,College,前锋,102.1 公斤,夏洛特,黄蜂,东部,东南分区
oshae_brissett,Oshae Brissett,加拿大,2.01,2019,2,College,前锋-后卫,95.3 公斤,印第安纳,步行者,东部,中央分区
malcolm_brogdon,Malcolm Brogdon,美国,1.96,2016,5,College,后卫,103.9 公斤,印第安纳,步行者,东部,中央分区
armoni_brooks,Armoni Brooks,美国,1米90,2019,1,College,后卫,"88,5 公斤",多伦多,猛龙,东部,大西洋分区
dillon_brooks,Dillon Brooks,加拿大,2米01,2017,4,College,后卫-前锋,"102,1 公斤",孟菲斯,灰熊,西部,西南分区
bruce_brown,Bruce Brown,美国,1米93,2018,3,College,后卫-前锋,"91,6 公斤",布鲁克林,篮网,东部,大西洋分区
jaylen_brown,Jaylen Brown,美国,1米98,2016,5,College,后卫-前锋,"101,2 公斤",波士顿,凯尔特人,东部,大西洋分区
moses_brown,Moses Brown,美国,2.18,2019,2,College,中锋,111.1 公斤,克利夫兰,骑士,东部,中央分区
sterling_brown,Sterling Brown,美国,1米96,2017,4,College,后卫-前锋,"99,3 公斤",达拉斯,独行侠,西部,西南分区
greg_brown_iii,Greg Brown III,美国,2.01,2021,0,College,前锋,93.4 公斤,波特兰,开拓者,西部,西北分区
charles_brown,Charlie Brown Jr.,美国,1米98,2019,2,College,后卫,"90,3 公斤",费城,76人,东部,大西洋分区
chaundee_brown,Chaundee Brown Jr.,美国,1米96,2021,0,College,前锋,"97,5 公斤",亚特兰大,老鹰,东部,东南分区
troy_brown_jr,Troy Brown Jr.,美国,1米98,2018,3,College,后卫-前锋,"97,5 公斤",芝加哥,公牛,东部,中央分区
jalen_brunson,Jalen Brunson,美国,1米85,2018,3,College,后卫,"86,2 公斤",达拉斯,独行侠,西部,西南分区
thomas_bryant,Thomas Bryant,美国,2.08,2017,4,College,中锋-前锋,112.5 公斤,华盛顿,奇才,东部,东南分区
reggie_bullock,Reggie Bullock,美国,1米98,2013,8,College,后卫-前锋,"93,0 公斤",达拉斯,独行侠,西部,西南分区
trey_burke,Trey Burke,美国,1米83,2013,8,College,后卫,"83,9 公斤",达拉斯,独行侠,西部,西南分区
alec_burks,Alec Burks,美国,1.98,2011,10,College,后卫,97.1 公斤,纽约,尼克斯,东部,大西洋分区
jared_butler,Jared Butler,美国,1米90,2021,0,College,后卫,"87,5 公斤",犹他,爵士,西部,西北分区
jimmy_butler,Jimmy Butler,美国,2米01,2011,10,College,前锋,"104,3 公斤",迈阿密,热火,东部,东南分区
davontae_cacok,Devontae Cacok,美国,2.01,2019,2,College,前锋,108.9 公斤,圣安东尼奥,马刺,西部,西南分区
kentavious_caldwell-pope,Kentavious Caldwell-Pope,美国,1.96,2013,8,College,后卫,92.5 公斤,华盛顿,奇才,东部,东南分区
facundo_campazzo,Facundo Campazzo,阿根廷,1米78,2013,1,International,后卫,"88,5 公斤",丹佛,掘金,西部,西北分区
vlatko_cancar,Vlatko Cancar,斯洛文尼亚,2米03,2017,2,International,前锋,"107,0 公斤",丹佛,掘金,西部,西北分区
devin_cannady,Devin Cannady,美国,1.88,2019,1,College,后卫,83.0 公斤,奥兰多,魔术,东部,东南分区
clint_capela,Clint Capela,瑞士,2米08,2014,7,International,中锋,"116,1 公斤",亚特兰大,老鹰,东部,东南分区
vernon_carey_jr,Vernon Carey Jr.,美国,2.06,2020,1,College,前锋-中锋,122.5 公斤,华盛顿,奇才,东部,东南分区
jevon_carter,Jevon Carter,美国,1米85,2018,3,College,后卫,"90,7 公斤",密尔沃基,雄鹿,东部,中央分区
wendell_carter_jr,Wendell Carter Jr.,美国,2.08,2018,3,College,中锋-前锋,122.5 公斤,奥兰多,魔术,东部,东南分区
alex_caruso,Alex Caruso,美国,1米96,2016,4,College,后卫,"84,4 公斤",芝加哥,公牛,东部,中央分区
justin_champagnie,Justin Champagnie,美国,1米98,2021,0,College,后卫-前锋,"93,4 公斤",多伦多,猛龙,东部,大西洋分区
chris_chiozza,Chris Chiozza,美国,1米80,2018,3,College,后卫,"79,4 公斤",金州,勇士,西部,太平洋分区
marquese_chriss,Marquese Chriss,美国,2米06,2016,5,College,前锋,"108,9 公斤",达拉斯,独行侠,西部,西南分区
josh_christopher,Josh Christopher,美国,1.90,2021,0,College,后卫,97.5 公斤,休斯顿,火箭,西部,西南分区
gary_clark,Gary Clark,美国,1米98,2018,3,College,前锋,"102,1 公斤",新奥尔良,鹈鹕,西部,西南分区
brandon_clarke,Brandon Clarke,加拿大,2米03,2019,2,College,前锋,"97,5 公斤",孟菲斯,灰熊,西部,西南分区
jordan_clarkson,Jordan Clarkson,美国,1米93,2014,7,College,后卫,"88,0 公斤",犹他,爵士,西部,西北分区
nicolas_claxton,Nic Claxton,美国,2米11,2019,2,College,前锋-中锋,"97,5 公斤",布鲁克林,篮网,东部,大西洋分区
amir_coffey,Amir Coffey,美国,2.01,2019,2,College,后卫-前锋,95.3 公斤,洛杉矶,快船,西部,太平洋分区
john_collins,John Collins,美国,2米06,2017,4,College,前锋-中锋,"102,5 公斤",亚特兰大,老鹰,东部,东南分区
zach_collins,Zach Collins,美国,2.11,2017,3,College,前锋-中锋,113.4 公斤,圣安东尼奥,马刺,西部,西南分区
mike_conley,Mike Conley,美国,1米85,2007,14,College,后卫,"79,4 公斤",犹他,爵士,西部,西北分区
pat_connaughton,Pat Connaughton,美国,1米96,2015,6,College,后卫,"94,8 公斤",密尔沃基,雄鹿,东部,中央分区
tyler_cook,Tyler Cook,美国,2米03,2019,2,College,前锋,"115,7 公斤",芝加哥,公牛,东部,中央分区
sharife_cooper,Sharife Cooper,美国,1米85,2021,0,College,后卫,"79,8 公斤",亚特兰大,老鹰,东部,东南分区
demarcus_cousins,DeMarcus Cousins,美国,2米08,2010,10,College,中锋,"122,5 公斤",丹佛,掘金,西部,西北分区
robert_covington,Robert Covington,美国,2.01,2013,8,College,前锋,94.8 公斤,洛杉矶,快船,西部,太平洋分区
torrey_craig,Torrey Craig,美国,2米01,2014,4,College,前锋,"100,2 公斤",菲尼克斯,太阳,西部,太平洋分区
jae_crowder,Jae Crowder,美国,1米98,2012,9,College,前锋,"106,6 公斤",菲尼克斯,太阳,西部,太平洋分区
jarrett_culver,Jarrett Culver,美国,1米98,2019,2,College,后卫-前锋,"88,5 公斤",孟菲斯,灰熊,西部,西南分区
cade_cunningham,Cade Cunningham,美国,1.98,2021,0,College,后卫,99.8 公斤,底特律,活塞,东部,中央分区
seth_curry,Seth Curry,美国,1米88,2013,7,College,后卫,"83,9 公斤",布鲁克林,篮网,东部,大西洋分区
stephen_curry,Stephen Curry,美国,1米88,2009,12,College,后卫,"83,9 公斤",金州,勇士,西部,太平洋分区
anthony_davis,Anthony Davis,美国,2.08,2012,9,College,前锋-中锋,114.8 公斤,洛杉矶,湖人,西部,太平洋分区
ed_davis,Ed Davis,美国,2.06,2010,11,College,中锋-前锋,98.9 公斤,克利夫兰,骑士,东部,中央分区
terence_davis,Terence Davis,美国,1.93,2019,2,College,后卫,91.2 公斤,萨克拉门托,国王,西部,太平洋分区
demar_derozan,DeMar DeRozan,美国,1米98,2009,12,College,后卫-前锋,"99,8 公斤",芝加哥,公牛,东部,中央分区
dewayne_dedmon,Dewayne Dedmon,美国,2米13,2013,8,College,中锋,"111,1 公斤",迈阿密,热火,东部,东南分区
donte_divincenzo,Donte DiVincenzo,美国,1.93,2018,3,College,后卫,92.1 公斤,萨克拉门托,国王,西部,太平洋分区
hamidou_diallo,Hamidou Diallo,美国,1.96,2018,3,College,后卫,91.6 公斤,底特律,活塞,东部,中央分区
gorgui_dieng,Gorgui Dieng,塞内加尔,2米08,2013,8,College,中锋,"112,5 公斤",亚特兰大,老鹰,东部,东南分区
spencer_dinwiddie,Spencer Dinwiddie,美国,1米98,2014,7,College,后卫,"97,5 公斤",达拉斯,独行侠,西部,西南分区
luka_don,Luka Doncic,斯洛文尼亚,2米01,2018,3,International,前锋-后卫,"104,3 公斤",达拉斯,独行侠,西部,西南分区
luguentz_dort,Luguentz Dort,加拿大,1.90,2019,2,College,后卫,97.5 公斤,俄克拉荷马城,雷霆,西部,西北分区
ayo_dosunmu,Ayo Dosunmu,美国,1米93,2021,0,College,后卫,"90,7 公斤",芝加哥,公牛,东部,中央分区
goran_dragic,Goran Dragic,斯洛文尼亚,1米90,2008,13,International,后卫,"86,2 公斤",布鲁克林,篮网,东部,大西洋分区
andre_drummond,Andre Drummond,美国,2米08,2012,9,College,中锋,"126,6 公斤",布鲁克林,篮网,东部,大西洋分区
chris_duarte,Chris Duarte,多明尼加共和国,1.96,2021,0,College,后卫,86.2 公斤,印第安纳,步行者,东部,中央分区
david_duke_jr,David Duke Jr.,美国,1米93,2021,0,College,后卫,"92,5 公斤",布鲁克林,篮网,东部,大西洋分区
kevin_durant,Kevin Durant,美国,2米08,2007,13,College,前锋,"108,9 公斤",布鲁克林,篮网,东部,大西洋分区
anthony_edwards,Anthony Edwards,美国,1米93,2020,1,College,后卫,"102,1 公斤",明尼苏达,森林狼,西部,西北分区
carsen_edwards,Carsen Edwards,美国,1.80,2019,2,College,后卫,90.7 公斤,底特律,活塞,东部,中央分区
kessler_edwards,Kessler Edwards,美国,2米01,2021,0,College,前锋,"92,1 公斤",布鲁克林,篮网,东部,大西洋分区
cj_elleby,CJ Elleby,美国,1.98,2020,1,College,前锋-后卫,90.7 公斤,波特兰,开拓者,西部,西北分区
wayne_ellington,Wayne Ellington,美国,1.93,2009,12,College,后卫,93.9 公斤,洛杉矶,湖人,西部,太平洋分区
joel_embiid,Joel Embiid,喀麦隆,2米13,2014,5,College,中锋-前锋,"127,0 公斤",费城,76人,东部,大西洋分区
derrick_favors,Derrick Favors,美国,2.06,2010,11,College,前锋,120.2 公斤,俄克拉荷马城,雷霆,西部,西北分区
bruno_fernando,Bruno Fernando,安哥拉,2.06,2019,2,College,前锋-中锋,108.9 公斤,休斯顿,火箭,西部,西南分区
dorian_finney-smith,Dorian Finney-Smith,美国,2米01,2016,5,College,前锋,"99,8 公斤",达拉斯,独行侠,西部,西南分区
malik_fitts,Malik Fitts,美国,1米96,2020,1,College,前锋,"104,3 公斤",波士顿,凯尔特人,东部,大西洋分区
malachi_flynn,Malachi Flynn,美国,1米85,2020,1,College,后卫,"79,4 公斤",多伦多,猛龙,东部,大西洋分区
bryn_forbes,Bryn Forbes,美国,1米88,2016,5,College,后卫,"93,0 公斤",丹佛,掘金,西部,西北分区
trent_forrest,Trent Forrest,美国,1米93,2020,1,College,后卫,"95,3 公斤",犹他,爵士,西部,西北分区
evan_fournier,Evan Fournier,法国,1.98,2012,9,International,后卫-前锋,93.0 公斤,纽约,尼克斯,东部,大西洋分区
de'aaron_fox,De'Aaron Fox,美国,1.90,2017,4,College,后卫,83.9 公斤,萨克拉门托,国王,西部,太平洋分区
melvin_frazier_jr,Melvin Frazier Jr.,美国,1.96,2018,2,College,后卫-前锋,97.5 公斤,俄克拉荷马城,雷霆,西部,西北分区
markelle_fultz,Markelle Fultz,美国,1.93,2017,4,College,后卫,94.8 公斤,奥兰多,魔术,东部,东南分区
wenyen_gabriel,Wenyen Gabriel,南苏丹,2.06,2018,2,College,前锋,93.0 公斤,洛杉矶,湖人,西部,太平洋分区
daniel_gafford,Daniel Gafford,美国,2.06,2019,2,College,前锋-中锋,106.1 公斤,华盛顿,奇才,东部,东南分区
danilo_gallinari,Danilo Gallinari,意大利,2米08,2008,12,International,前锋,"107,0 公斤",亚特兰大,老鹰,东部,东南分区
darius_garland,Darius Garland,美国,1.85,2019,2,College,后卫,87.1 公斤,克利夫兰,骑士,东部,中央分区
usman_garuba,Usman Garuba,西班牙,2.03,2021,0,International,前锋,103.9 公斤,休斯顿,火箭,西部,西南分区
luka_garza,Luka Garza,美国,2.08,2021,0,College,中锋,110.2 公斤,底特律,活塞,东部,中央分区
rudy_gay,Rudy Gay,美国,2米03,2006,15,College,前锋-后卫,"113,4 公斤",犹他,爵士,西部,西北分区
paul_george,Paul George,美国,2.03,2010,11,College,前锋,99.8 公斤,洛杉矶,快船,西部,太平洋分区
taj_gibson,Taj Gibson,美国,2.06,2009,12,College,前锋,105.2 公斤,纽约,尼克斯,东部,大西洋分区
josh_giddey,Josh Giddey,澳洲,2.03,2021,0,International,后卫,93.0 公斤,俄克拉荷马城,雷霆,西部,西北分区
shai_gilgeous-alexander,Shai Gilgeous-Alexander,加拿大,1.98,2018,3,College,后卫,81.6 公斤,俄克拉荷马城,雷霆,西部,西北分区
anthony_gill,Anthony Gill,美国,2.01,2016,1,College,前锋,104.3 公斤,华盛顿,奇才,东部,东南分区
rudy_gobert,Rudy Gobert,法国,2米16,2013,8,International,中锋,"117,0 公斤",犹他,爵士,西部,西北分区
brandon_goodwin,Brandon Goodwin,美国,1.83,2018,3,College,后卫,81.6 公斤,克利夫兰,骑士,东部,中央分区
aaron_gordon,Aaron Gordon,美国,2米03,2014,7,College,前锋,"106,6 公斤",丹佛,掘金,西部,西北分区
eric_gordon,Eric Gordon,美国,1.90,2008,13,College,后卫,97.5 公斤,休斯顿,火箭,西部,西南分区
devonte_graham,Devonte' Graham,美国,1米85,2018,3,College,后卫,"88,5 公斤",新奥尔良,鹈鹕,西部,西南分区
jerami_grant,Jerami Grant,美国,2.03,2014,7,College,前锋,95.3 公斤,底特律,活塞,东部,中央分区
danny_green,Danny Green,美国,1米98,2009,12,College,后卫,"97,5 公斤",费城,76人,东部,大西洋分区
draymond_green,Draymond Green,美国,1米98,2012,9,College,前锋,"104,3 公斤",金州,勇士,西部,太平洋分区
jamychal_green,JaMychal Green,美国,2米03,2012,7,College,前锋-中锋,"103,0 公斤",丹佛,掘金,西部,西北分区
