球员编号,球员,国家,身高,选秀年,经历时间,学校类型,位置,体重,城市,球队,赛区,分区
jalen_green,Jalen Green,美国,1.93,2021,0,International,后卫,84.4 公斤,休斯顿,火箭,西部,西南分区
javonte_green,Javonte Green,美国,1米96,2015,2,College,后卫-前锋,"93,0 公斤",芝加哥,公牛,东部,中央分区
jeff_green,Jeff Green,美国,2米03,2007,13,College,前锋,"106,6 公斤",丹佛,掘金,西部,西北分区
josh_green,Josh Green,澳洲,1米96,2020,1,College,后卫,"90,7 公斤",达拉斯,独行侠,西部,西南分区
blake_griffin,Blake Griffin,美国,2米06,2009,11,College,前锋,"113,4 公斤",布鲁克林,篮网,东部,大西洋分区
quentin_grimes,Quentin Grimes,美国,1.93,2021,0,College,后卫,95.3 公斤,纽约,尼克斯,东部,大西洋分区
rui_hachimura,Rui Hachimura,日本,2.03,2019,2,College,前锋,104.3 公斤,华盛顿,奇才,东部,东南分区
tyrese_haliburton,Tyrese Haliburton,美国,1.96,2020,1,College,后卫,83.9 公斤,印第安纳,步行者,东部,中央分区
rj_hampton,R.J. Hampton,美国,1.93,2020,1,International,后卫,79.4 公斤,奥兰多,魔术,东部,东南分区
tim_hardaway_jr,Tim Hardaway Jr.,美国,1米96,2013,8,College,后卫-前锋,"93,0 公斤",达拉斯,独行侠,西部,西南分区
james_harden,James Harden,美国,1米96,2009,12,College,后卫,"99,8 公斤",费城,76人,东部,大西洋分区
maurice_harkless,Maurice Harkless,美国,2.01,2012,9,College,前锋-后卫,99.8 公斤,萨克拉门托,国王,西部,太平洋分区
jared_harper,Jared Harper,美国,1米78,2019,2,College,后卫,"79,4 公斤",新奥尔良,鹈鹕,西部,西南分区
montrezl_harrell,Montrezl Harrell,美国,2.01,2015,6,College,前锋-中锋,108.9 公斤,夏洛特,黄蜂,东部,东南分区
gary_harris,Gary Harris,美国,1.93,2014,7,College,后卫,95.3 公斤,奥兰多,魔术,东部,东南分区
joe_harris,Joe Harris,美国,1米98,2014,7,College,后卫-前锋,"99,8 公斤",布鲁克林,篮网,东部,大西洋分区
tobias_harris,Tobias Harris,美国,2米01,2011,10,College,前锋,"102,5 公斤",费城,76人,东部,大西洋分区
josh_hart,Josh Hart,美国,1.96,2017,4,College,后卫,97.5 公斤,波特兰,开拓者,西部,西北分区
isaiah_hartenstein,Isaiah Hartenstein,德国,2.13,2017,3,International,中锋-前锋,113.4 公斤,洛杉矶,快船,西部,太平洋分区
udonis_haslem,Udonis Haslem,美国,2米03,2002,18,College,前锋,"106,6 公斤",迈阿密,热火,东部,东南分区
sam_hauser,Sam Hauser,美国,2米01,2021,0,College,前锋,"98,4 公斤",波士顿,凯尔特人,东部,大西洋分区
jaxson_hayes,Jaxson Hayes,美国,2米11,2019,2,College,中锋-前锋,"99,8 公斤",新奥尔良,鹈鹕,西部,西南分区
killian_hayes,Killian Hayes,法国,1.96,2020,1,International,后卫,88.5 公斤,底特律,活塞,东部,中央分区
gordon_hayward,Gordon Hayward,美国,2.01,2010,11,College,前锋,102.1 公斤,夏洛特,黄蜂,东部,东南分区
juan_hernangomez,Juancho Hernangomez,西班牙,2米06,2016,5,International,前锋,"97,1 公斤",犹他,爵士,西部,西北分区
willy_hernangomez,Willy Hernangomez,西班牙,2米11,2015,5,International,中锋-前锋,"113,4 公斤",新奥尔良,鹈鹕,西部,西南分区
tyler_herro,Tyler Herro,美国,1米96,2019,2,College,后卫,"88,5 公斤",迈阿密,热火,东部,东南分区
buddy_hield,Buddy Hield,巴哈马,1.93,2016,5,College,后卫,99.8 公斤,印第安纳,步行者,东部,中央分区
haywood_highsmith,Haywood Highsmith,美国,1米93,2018,1,College,前锋,"99,8 公斤",迈阿密,热火,东部,东南分区
george_hill,George Hill,美国,1米93,2008,13,College,后卫,"85,3 公斤",密尔沃基,雄鹿,东部,中央分区
malcolm_hill,Malcolm Hill,美国,1米98,2017,0,College,前锋,"99,8 公斤",芝加哥,公牛,东部,中央分区
nate_hinton,Nate Hinton,美国,1.96,2020,1,College,后卫-前锋,95.3 公斤,印第安纳,步行者,东部,中央分区
aaron_holiday,Aaron Holiday,美国,1米83,2018,3,College,后卫,"83,9 公斤",菲尼克斯,太阳,西部,太平洋分区
jrue_holiday,Jrue Holiday,美国,1米90,2009,12,College,后卫,"93,0 公斤",密尔沃基,雄鹿,东部,中央分区
justin_holiday,Justin Holiday,美国,1.98,2011,8,College,前锋-后卫,81.6 公斤,萨克拉门托,国王,西部,太平洋分区
richaun_holmes,Richaun Holmes,美国,2.08,2015,6,College,前锋,106.6 公斤,萨克拉门托,国王,西部,太平洋分区
rodney_hood,Rodney Hood,美国,2.03,2014,7,College,后卫-前锋,94.3 公斤,洛杉矶,快船,西部,太平洋分区
al_horford,Al Horford,多明尼加共和国,2米06,2007,14,College,中锋-前锋,"108,9 公斤",波士顿,凯尔特人,东部,大西洋分区
talen_horton-tucker,Talen Horton-Tucker,美国,1.93,2019,2,College,后卫,106.1 公斤,洛杉矶,湖人,西部,太平洋分区
danuel_house,Danuel House Jr.,美国,1米98,2016,5,College,前锋-后卫,"99,8 公斤",犹他,爵士,西部,西北分区
dwight_howard,Dwight Howard,美国,2.08,2004,17,High School,中锋-前锋,120.2 公斤,洛杉矶,湖人,西部,太平洋分区
markus_howard,Markus Howard,美国,1米78,2020,1,College,后卫,"79,4 公斤",丹佛,掘金,西部,西北分区
kevin_huerter,Kevin Huerter,美国,2米01,2018,3,College,后卫-前锋,"89,8 公斤",亚特兰大,老鹰,东部,东南分区
elijah_hughes,Elijah Hughes,美国,1.96,2020,1,College,后卫,97.5 公斤,波特兰,开拓者,西部,西北分区
feron_hunt,Feron Hunt,美国,2.03,2021,0,College,前锋,88.5 公斤,纽约,尼克斯,东部,大西洋分区
deandre_hunter,De'Andre Hunter,美国,2米03,2019,2,College,前锋-后卫,"100,2 公斤",亚特兰大,老鹰,东部,东南分区
nahshon_hyland,Bones Hyland,美国,1米88,2021,0,College,后卫,"76,7 公斤",丹佛,掘金,西部,西北分区
serge_ibaka,Serge Ibaka,刚果共和国,2米08,2008,12,International,前锋,"106,6 公斤",密尔沃基,雄鹿,东部,中央分区
andre_iguodala,Andre Iguodala,美国,1米98,2004,17,College,后卫-前锋,"97,5 公斤",金州,勇士,西部,太平洋分区
joe_ingles,Joe Ingles,澳洲,2.03,2009,7,International,前锋-后卫,99.8 公斤,波特兰,开拓者,西部,西北分区
brandon_ingram,Brandon Ingram,美国,2米03,2016,5,College,前锋,"86,2 公斤",新奥尔良,鹈鹕,西部,西南分区
kyrie_irving,Kyrie Irving,澳洲,1米88,2011,10,College,后卫,"88,5 公斤",布鲁克林,篮网,东部,大西洋分区
jonathan_isaac,Jonathan Isaac,美国,2.08,2017,3,College,前锋,104.3 公斤,奥兰多,魔术,东部,东南分区
frank_jackson,Frank Jackson,美国,1.90,2017,3,College,后卫,93.0 公斤,底特律,活塞,东部,中央分区
tmp_isaiah_jackson,Isaiah Jackson,美国,2.08,2021,0,College,前锋,93.0 公斤,印第安纳,步行者,东部,中央分区
josh_jackson,Josh Jackson,美国,2.03,2017,4,College,后卫-前锋,93.9 公斤,萨克拉门托,国王,西部,太平洋分区
reggie_jackson,Reggie Jackson,美国,1.88,2011,10,College,后卫,94.3 公斤,洛杉矶,快船,西部,太平洋分区
jaren_jackson_jr,Jaren Jackson Jr.,美国,2米11,2018,3,College,前锋-中锋,"109,8 公斤",孟菲斯,灰熊,西部,西南分区
lebron_james,LeBron James,美国,2.06,2003,18,High School,前锋,113.4 公斤,洛杉矶,湖人,西部,太平洋分区
ty_jerome,Ty Jerome,美国,1.96,2019,2,College,后卫-前锋,88.5 公斤,俄克拉荷马城,雷霆,西部,西北分区
isaiah_joe,Isaiah Joe,美国,1米93,2020,1,College,后卫,"74,8 公斤",费城,76人,东部,大西洋分区
cameron_johnson,Cameron Johnson,美国,2米03,2019,2,College,前锋,"95,3 公斤",菲尼克斯,太阳,西部,太平洋分区
david_johnson,David Johnson,美国,1米93,2021,0,College,后卫,"92,1 公斤",多伦多,猛龙,东部,大西洋分区
jalen_johnson,Jalen Johnson,美国,2米03,2021,0,College,前锋,"99,3 公斤",亚特兰大,老鹰,东部,东南分区
keldon_johnson,Keldon Johnson,美国,1.98,2019,2,College,前锋-后卫,99.8 公斤,圣安东尼奥,马刺,西部,西南分区
keon_johnson,Keon Johnson,美国,1.93,2021,0,College,后卫,83.9 公斤,波特兰,开拓者,西部,西北分区
stanley_johnson,Stanley Johnson,美国,1.98,2015,6,College,前锋-后卫,109.8 公斤,洛杉矶,湖人,西部,太平洋分区
nikola_jokic,Nikola Jokic,塞尔维亚,2米11,2014,6,International,中锋,"128,8 公斤",丹佛,掘金,西部,西北分区
damian_jones,Damian Jones,美国,2.11,2016,5,College,中锋,111.1 公斤,萨克拉门托,国王,西部,太平洋分区
herbert_jones,Herbert Jones,美国,2米01,2021,0,College,前锋,"93,4 公斤",新奥尔良,鹈鹕,西部,西南分区
kai_jones,Kai Jones,巴哈马,2.08,2021,0,College,中锋-前锋,100.2 公斤,夏洛特,黄蜂,东部,东南分区
mason_jones,Mason Jones,美国,1.93,2020,1,College,后卫,90.7 公斤,洛杉矶,湖人,西部,太平洋分区
tre_jones,Tre Jones,美国,1.85,2020,1,College,后卫,83.9 公斤,圣安东尼奥,马刺,西部,西南分区
tyus_jones,Tyus Jones,美国,1米83,2015,6,College,后卫,"88,9 公斤",孟菲斯,灰熊,西部,西南分区
derrick_jones_jr,Derrick Jones Jr.,美国,1米98,2016,5,College,前锋,"95,3 公斤",芝加哥,公牛,东部,中央分区
deandre_jordan,DeAndre Jordan,美国,2米11,2008,13,College,中锋,"120,2 公斤",费城,76人,东部,大西洋分区
cory_joseph,Cory Joseph,加拿大,1.90,2011,10,College,后卫,90.7 公斤,底特律,活塞,东部,中央分区
luke_kennard,Luke Kennard,美国,1.96,2017,4,College,后卫,93.4 公斤,洛杉矶,快船,西部,太平洋分区
braxton_key,Braxton Key,美国,2.03,2021,0,College,前锋,102.1 公斤,底特律,活塞,东部,中央分区
corey_kispert,Corey Kispert,美国,1.98,2021,0,College,前锋,101.6 公斤,华盛顿,奇才,东部,东南分区
maxi_kleber,Maxi Kleber,德国,2米08,2014,4,International,前锋,"108,9 公斤",达拉斯,独行侠,西部,西南分区
nathan_knight,Nathan Knight,美国,2米08,2020,1,College,前锋-中锋,"114,8 公斤",明尼苏达,森林狼,西部,西北分区
kevin_knox,Kevin Knox II,美国,2米01,2018,3,College,前锋,"97,5 公斤",亚特兰大,老鹰,东部,东南分区
john_konchar,John Konchar,美国,1米96,2019,2,College,后卫,"95,3 公斤",孟菲斯,灰熊,西部,西南分区
furkan_korkmaz,Furkan Korkmaz,土耳其,2米01,2016,4,International,后卫-前锋,"91,6 公斤",费城,76人,东部,大西洋分区
luke_kornet,Luke Kornet,美国,2米18,2017,4,College,中锋-前锋,"113,4 公斤",波士顿,凯尔特人,东部,大西洋分区
vit_krejci,Vit Krejci,捷克共和国,2.03,2020,0,International,后卫,88.5 公斤,俄克拉荷马城,雷霆,西部,西北分区
arnoldas_kulboka,Arnoldas Kulboka,立陶宛,2.08,2018,0,International,前锋,94.8 公斤,夏洛特,黄蜂,东部,东南分区
jonathan_kuminga,Jonathan Kuminga,刚果民主共和国,2米01,2021,0,International,前锋,"102,1 公斤",金州,勇士,西部,太平洋分区
kyle_kuzma,Kyle Kuzma,美国,2.06,2017,4,College,前锋,100.2 公斤,华盛顿,奇才,东部,东南分区
zach_lavine,Zach LaVine,美国,1米96,2014,7,College,后卫-前锋,"90,7 公斤",芝加哥,公牛,东部,中央分区
anthony_lamb,Anthony Lamb,美国,1.98,2020,1,College,前锋,103.0 公斤,休斯顿,火箭,西部,西南分区
jeremy_lamb,Jeremy Lamb,美国,1.96,2012,9,College,后卫-前锋,81.6 公斤,萨克拉门托,国王,西部,太平洋分区
jock_landale,Jock Landale,澳洲,2.11,2018,0,,中锋,115.7 公斤,圣安东尼奥,马刺,西部,西南分区
romeo_langford,Romeo Langford,美国,1.96,2019,2,College,后卫-前锋,98.0 公斤,圣安东尼奥,马刺,西部,西南分区
jake_layman,Jake Layman,美国,2米03,2016,5,College,前锋,"94,8 公斤",明尼苏达,森林狼,西部,西北分区
caris_levert,Caris LeVert,美国,1.98,2016,5,College,后卫,93.0 公斤,克利夫兰,骑士,东部,中央分区
damion_lee,Damion Lee,美国,1米96,2016,4,College,后卫-前锋,"95,3 公斤",金州,勇士,西部,太平洋分区
saban_lee,Saben Lee,美国,1.88,2020,1,College,后卫,83.0 公斤,底特律,活塞,东部,中央分区
alex_len,Alex Len,乌克兰,2.13,2013,8,College,中锋,113.4 公斤,萨克拉门托,国王,西部,太平洋分区
kawhi_leonard,Kawhi Leonard,美国,2.01,2011,10,College,前锋,102.1 公斤,洛杉矶,快船,西部,太平洋分区
tmp_scottie_lewis,Scottie Lewis,美国,1.96,2021,0,College,后卫,83.9 公斤,夏洛特,黄蜂,东部,东南分区
kira_lewis_jr,Kira Lewis Jr.,美国,1米85,2020,1,College,后卫,"77,1 公斤",新奥尔良,鹈鹕,西部,西南分区
damian_lillard,Damian Lillard,美国,1.88,2012,9,College,后卫,88.5 公斤,波特兰,开拓者,西部,西北分区
nassir_little,Nassir Little,美国,1.96,2019,2,College,前锋-后卫,99.8 公斤,波特兰,开拓者,西部,西北分区
isaiah_livers,Isaiah Livers,美国,1.98,2021,0,College,前锋,105.2 公斤,底特律,活塞,东部,中央分区
kevon_looney,Kevon Looney,美国,2米06,2015,6,College,前锋,"100,7 公斤",金州,勇士,西部,太平洋分区
brook_lopez,Brook Lopez,美国,2米13,2008,13,College,中锋,"127,9 公斤",密尔沃基,雄鹿,东部,中央分区
robin_lopez,Robin Lopez,美国,2.13,2008,13,College,中锋,127.5 公斤,奥兰多,魔术,东部,东南分区
marcos_louzada_silva,Didi Louzada,巴西,1.96,2019,1,International,后卫,85.3 公斤,波特兰,开拓者,西部,西北分区
kevin_love,Kevin Love,美国,2.03,2008,13,College,前锋-中锋,113.9 公斤,克利夫兰,骑士,东部,中央分区
kyle_lowry,Kyle Lowry,美国,1米83,2006,15,College,后卫,"88,9 公斤",迈阿密,热火,东部,东南分区
gabriel_lundberg,Gabriel Lundberg,Denmark,1米93,2016,0,,后卫,"92,1 公斤",菲尼克斯,太阳,西部,太平洋分区
timothe_luwawu-cabarrot,Timothe Luwawu-Cabarrot,法国,2米01,2016,5,International,后卫-前锋,"97,5 公斤",亚特兰大,老鹰,东部,东南分区
trey_lyles,Trey Lyles,加拿大,2.06,2015,6,College,前锋,106.1 公斤,萨克拉门托,国王,西部,太平洋分区
theo_maledon,Theo Maledon,法国,1.93,2020,1,International,后卫,79.4 公斤,俄克拉荷马城,雷霆,西部,西北分区
sandro_mamukelashvili,Sandro Mamukelashvili,格鲁吉亚,2米06,2021,0,College,前锋-中锋,"108,9 公斤",密尔沃基,雄鹿,东部,中央分区
terance_mann,Terance Mann,美国,1.96,2019,2,College,后卫-前锋,97.5 公斤,洛杉矶,快船,西部,太平洋分区
tre_mann,Tre Mann,美国,1.90,2021,0,College,后卫,80.7 公斤,俄克拉荷马城,雷霆,西部,西北分区
boban_marjanovic,Boban Marjanovic,塞尔维亚,2米21,2010,6,International,中锋,"131,5 公斤",达拉斯,独行侠,西部,西南分区
lauri_markkanen,Lauri Markkanen,芬兰,2.11,2017,4,College,前锋-中锋,108.9 公斤,克利夫兰,骑士,东部,中央分区
naji_marshall,Naji Marshall,美国,2米01,2020,1,College,前锋,"99,8 公斤",新奥尔良,鹈鹕,西部,西南分区
caleb_martin,Caleb Martin,美国,1米96,2019,2,College,前锋,"93,0 公斤",迈阿密,热火,东部,东南分区
cody_martin,Cody Martin,美国,1.98,2019,2,College,前锋,93.0 公斤,夏洛特,黄蜂,东部,东南分区
kenyon_martin_jr,Kenyon Martin Jr.,美国,1.96,2020,1,High School,前锋,97.5 公斤,休斯顿,火箭,西部,西南分区
garrison_mathews,Garrison Mathews,美国,1.96,2019,2,College,后卫,97.5 公斤,休斯顿,火箭,西部,西南分区
wesley_matthews,Wesley Matthews,美国,1米93,2009,12,College,后卫,"99,8 公斤",密尔沃基,雄鹿,东部,中央分区
tyrese_maxey,Tyrese Maxey,美国,1米88,2020,1,College,后卫,"90,7 公斤",费城,76人,东部,大西洋分区
skylar_mays,Skylar Mays,美国,1米93,2020,1,College,后卫,"93,0 公斤",亚特兰大,老鹰,东部,东南分区
miles_mcbride,Miles McBride,美国,1.85,2021,0,College,后卫,88.5 公斤,纽约,尼克斯,东部,大西洋分区
mac_mcclung,Mac McClung,美国,1.88,2021,0,College,后卫,83.9 公斤,洛杉矶,湖人,西部,太平洋分区
cj_mccollum,CJ McCollum,美国,1米90,2013,8,College,后卫,"86,2 公斤",新奥尔良,鹈鹕,西部,西南分区
t.j._mcconnell,T.J. McConnell,美国,1.85,2015,6,College,后卫,86.2 公斤,印第安纳,步行者,东部,中央分区
jaden_mcdaniels,Jaden McDaniels,美国,2米06,2020,1,College,前锋,"83,9 公斤",明尼苏达,森林狼,西部,西北分区
jalen_mcdaniels,Jalen McDaniels,美国,2.06,2019,2,College,前锋-中锋,93.0 公斤,夏洛特,黄蜂,东部,东南分区
doug_mcdermott,Doug McDermott,美国,2.01,2014,7,College,前锋,102.1 公斤,圣安东尼奥,马刺,西部,西南分区
javale_mcgee,JaVale McGee,美国,2米13,2008,13,College,中锋-前锋,"122,5 公斤",菲尼克斯,太阳,西部,太平洋分区
rodney_mcgruder,Rodney McGruder,美国,1.93,2013,5,College,后卫,93.0 公斤,底特律,活塞,东部,中央分区
jordan_mclaughlin,Jordan McLaughlin,美国,1米80,2018,2,College,后卫,"83,9 公斤",明尼苏达,森林狼,西部,西北分区
ben_mclemore,Ben McLemore,美国,1.90,2013,8,College,后卫,88.5 公斤,波特兰,开拓者,西部,西北分区
deanthony_melton,De'Anthony Melton,美国,1米88,2018,3,College,后卫,"90,7 公斤",孟菲斯,灰熊,西部,西南分区
chimezie_metu,Chimezie Metu,美国,2.06,2018,3,College,前锋-中锋,102.1 公斤,萨克拉门托,国王,西部,太平洋分区
khris_middleton,Khris Middleton,美国,2米01,2012,9,College,前锋,"100,7 公斤",密尔沃基,雄鹿,东部,中央分区
patty_mills,Patty Mills,澳洲,1米83,2009,12,College,后卫,"81,6 公斤",布鲁克林,篮网,东部,大西洋分区
paul_millsap,Paul Millsap,美国,2米01,2006,15,College,前锋,"116,6 公斤",费城,76人,东部,大西洋分区
shake_milton,Shake Milton,美国,1米96,2018,3,College,后卫-前锋,"93,0 公斤",费城,76人,东部,大西洋分区
davion_mitchell,Davion Mitchell,美国,1.83,2021,0,College,后卫,91.6 公斤,萨克拉门托,国王,西部,太平洋分区
donovan_mitchell,Donovan Mitchell,美国,1米85,2017,4,College,后卫,"97,5 公斤",犹他,爵士,西部,西北分区
evan_mobley,Evan Mobley,美国,2.11,2021,0,College,中锋,97.5 公斤,克利夫兰,骑士,东部,中央分区
malik_monk,Malik Monk,美国,1.90,2017,4,College,后卫,90.7 公斤,洛杉矶,湖人,西部,太平洋分区
greg_monroe,Greg Monroe,美国,2米08,2010,9,College,前锋-中锋,"113,4 公斤",明尼苏达,森林狼,西部,西北分区
moses_moody,Moses Moody,美国,1米96,2021,0,College,后卫,"95,7 公斤",金州,勇士,西部,太平洋分区
xavier_moon,Xavier Moon,美国,1.88,0,0,College,后卫,74.8 公斤,洛杉矶,快船,西部,太平洋分区
ja_morant,Ja Morant,美国,1米90,2019,2,College,后卫,"78,9 公斤",孟菲斯,灰熊,西部,西南分区
juwan_morgan,Juwan Morgan,美国,2米01,2019,2,College,前锋,"105,2 公斤",波士顿,凯尔特人,东部,大西洋分区
markieff_morris,Markieff Morris,美国,2米06,2011,10,College,前锋,"111,1 公斤",迈阿密,热火,东部,东南分区
monte_morris,Monte Morris,美国,1米88,2017,4,College,后卫,"83,0 公斤",丹佛,掘金,西部,西北分区
marcus_morris,Marcus Morris Sr.,美国,2.03,2011,10,College,前锋,98.9 公斤,洛杉矶,快船,西部,太平洋分区
mychal_mulder,Mychal Mulder,加拿大,1米90,2017,2,College,后卫,"88,5 公斤",迈阿密,热火,东部,东南分区
trey_murphy_iii,Trey Murphy III,美国,2米03,2021,0,College,前锋,"93,4 公斤",新奥尔良,鹈鹕,西部,西南分区
dejounte_murray,Dejounte Murray,美国,1.93,2016,4,College,后卫,81.6 公斤,圣安东尼奥,马刺,西部,西南分区
jamal_murray,Jamal Murray,加拿大,1米90,2016,5,College,后卫,"97,5 公斤",丹佛,掘金,西部,西北分区
mike_muscala,Mike Muscala,美国,2.08,2013,8,College,前锋-中锋,108.9 公斤,俄克拉荷马城,雷霆,西部,西北分区
sviatoslav_mykhailiuk,Svi Mykhailiuk,乌克兰,2米01,2018,3,College,后卫-前锋,"93,0 公斤",多伦多,猛龙,东部,大西洋分区
larry_nance_jr,Larry Nance Jr.,美国,2米01,2015,6,College,前锋-中锋,"111,1 公斤",新奥尔良,鹈鹕,西部,西南分区
rj_nembhard_jr,RJ Nembhard Jr.,美国,1.93,2021,0,College,后卫,90.7 公斤,克利夫兰,骑士,东部,中央分区
aaron_nesmith,Aaron Nesmith,美国,1米96,2020,1,College,后卫-前锋,"97,5 公斤",波士顿,凯尔特人,东部,大西洋分区
raul_neto,Raul Neto,巴西,1.88,2013,6,International,后卫,81.6 公斤,华盛顿,奇才,东部,东南分区
georges_niang,Georges Niang,美国,2米01,2016,5,College,前锋,"104,3 公斤",费城,76人,东部,大西洋分区
daishen_nix,Daishen Nix,美国,1.93,2021,0,International,后卫,102.5 公斤,休斯顿,火箭,西部,西南分区
