球员,球员(中),场均得分,排名,场均助攻,排名,场均篮板,排名,投篮命中率,排名,三分命中率,排名,罚球命中率,排名,场均盖帽,排名,场均抢断,排名,本赛季薪金
p.j._tucker,PJ 塔克,9.6,-,2.4,-,6.2,-,60.00%,-,53.30%,-,100%,-,0,-,0.4,-,700
tyler_herro,泰勒 希罗,12.8,-,3.2,-,3.8,-,39.10%,-,17.90%,-,90.00%,-,0.6,-,1,-,364
udonis_haslem,犹多尼斯 哈斯勒姆,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,264
markieff_morris,马基夫 莫里斯,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,264
victor_oladipo,维克托 奥拉迪波,14.5,-,3.5,-,4.5,-,42.30%,-,27.30%,-,100%,-,0,-,1.5,-,239
dewayne_dedmon,德维恩 戴德蒙,4.2,-,0.6,-,3.6,-,56.20%,-,0%,-,75.00%,-,0.2,-,0.2,-,239
gabe_vincent,盖布 文森特,8.4,-,4.2,-,2.4,-,37.80%,-,36.00%,-,83.30%,-,0.2,-,1.2,-,167
max_strus,马克斯 斯特鲁斯,14,-,2.2,-,2.8,-,42.40%,-,35.60%,-,57.10%,-,0.2,-,1.4,-,167
omer_yurtseven,奥默 尤尔特塞文,3.5,-,0.5,-,0.5,-,75.00%,-,0%,-,33.30%,-,0,-,0,-,149
javonte_smart,贾文特 斯马特,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
chris_silva,克里斯 席尔瓦,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
mychal_mulder,迈克尔 穆尔德,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
haywood_highsmith,海伍德 海史密斯,1.5,-,0.5,-,0.5,-,100%,-,100%,-,0%,-,0,-,0,-,0
caleb_martin,凯莱布 马丁,3.6,-,0,-,1.4,-,32.00%,-,16.70%,-,0%,-,0.2,-,1,-,0
bradley_beal,布拉德利 比尔,23.1,-,6.6,-,4.7,-,45.10%,60,30.00%,-,83.30%,43,0.38,-,0.9,-,3450
kristaps_porzingis,克里斯塔普斯 波尔津吉斯,20.2,-,2.3,-,8.1,-,45.90%,-,31.00%,-,86.70%,-,1.65,-,0.73,-,2946
kyle_kuzma,凯尔 库兹马,17.1,43,3.5,48,8.5,20,45.20%,59,34.10%,105,71.20%,88,0.9,25,0.6,135,1300
kentavious_caldwell-pope,肯塔维厄斯 考德威尔 波普,13.2,73,1.9,116,3.4,133,43.50%,75,39.00%,32,89.00%,8,0.3,105,1.1,31,1207
tomas_satoransky,托马什 萨托兰斯基,3.6,-,3.3,-,2.3,-,37.70%,-,20.80%,-,79.60%,-,0.09,-,0.53,-,1000
thomas_bryant,托马斯 布莱恩特,7.4,-,0.9,-,4,-,52.00%,-,28.60%,-,87.50%,-,0.78,-,0.22,-,833
rui_hachimura,八村垒,11.3,-,1.1,-,3.8,-,49.10%,-,44.70%,-,69.70%,-,0.21,-,0.55,-,469
ish_smith,伊斯梅尔 史密斯,6.3,-,3.8,-,2.2,-,43.10%,-,37.30%,-,62.50%,-,0.35,-,0.72,-,450
deni_avdija,德尼 阿夫迪亚,8.4,146,2,109,5.2,67,43.20%,-,31.70%,123,75.70%,-,0.5,66,0.7,105,447
corey_kispert,科里 基斯珀特,8.2,152,1.1,167,2.7,164,45.50%,-,35.00%,95,87.10%,-,0.3,105,0.4,182,338
raul_neto,劳尔 内托,7.5,166,3.1,59,1.9,193,46.30%,-,29.20%,-,76.90%,-,0.04,201,0.8,85,209
daniel_gafford,丹尼尔 加福德,9.4,118,0.9,187,5.7,51,69.50%,-,0%,-,69.90%,-,1.4,10,0.4,182,151
isaiah_todd,以赛亚 托德,1.7,-,0.3,-,1,-,26.90%,-,25.00%,-,33.30%,-,0.17,-,0.33,-,150
vernon_carey,小弗农 凯里,2.9,-,0,-,1.7,-,53.80%,-,0%,-,46.20%,-,0.14,-,0.29,-,135
anthony_gill,安东尼 吉尔,4.1,-,0.6,-,1.9,-,56.90%,-,53.80%,-,80.80%,-,0.25,-,0.11,-,90
cassius_winston,卡修斯 温斯顿,2,-,1,-,0.1,-,36.40%,-,33.30%,-,100%,-,0,-,0,-,46
jordan_schakel,乔丹 舍克尔,1.2,-,0,-,2,-,9.10%,-,16.70%,-,100%,-,0,-,0.25,-,0
gordon_hayward,戈登 海沃德,15.9,-,3.6,-,4.6,-,45.90%,-,39.10%,30,84.60%,33,0.45,-,0.96,-,2850
terry_rozier,特里 罗齐尔,19.3,26,4.5,31,4.3,96,44.40%,65,37.40%,61,85.20%,30,0.3,105,1.3,17,1790
kelly_oubre,凯利 乌布雷,15,57,1.1,167,4,111,44.00%,72,34.50%,100,66.70%,96,0.4,82,1,49,1200
montrezl_harrell,蒙特雷兹 哈勒尔,13.2,-,2,-,6.1,-,64.40%,-,23.50%,-,71.80%,-,0.59,-,0.41,-,925
mason_plumlee,梅森 普拉姆利,6.5,177,3.1,59,7.7,28,64.10%,-,0%,-,39.20%,-,0.7,39,0.8,85,800
lamelo_ball,拉梅洛 鲍尔,20.1,22,7.6,7,6.7,37,42.90%,80,38.90%,35,87.20%,14,0.4,82,1.6,8,784
james_bouknight,詹姆斯 布克奈特,4.6,-,0.8,-,1.7,-,34.80%,-,34.70%,-,87.10%,-,0.03,-,0.23,-,415
p.j._washington,PJ 华盛顿,10.3,105,2.3,92,5.2,67,46.80%,-,36.50%,75,71.60%,-,0.9,25,0.9,64,402
miles_bridges,迈尔斯 布里奇斯,20.2,21,3.8,44,7,35,49.10%,31,33.10%,114,80.20%,58,0.8,32,0.9,64,393
kai_jones,凯 琼斯,1,-,0.2,-,0.6,-,64.30%,-,50.00%,-,37.50%,-,0.1,-,0.05,-,277
jalen_mcdaniels,杰伦 麦克丹尼尔斯,6.2,-,1,-,3.1,-,48.40%,-,38.00%,-,73.60%,-,0.4,-,0.47,-,152
cody_martin,科迪 马丁,7.7,160,2.5,83,4,111,48.20%,-,38.40%,-,70.10%,-,0.4,82,1.2,23,152
jt_thor,JT 索尔,2,-,0.6,-,1.3,-,43.60%,-,25.90%,-,60.00%,-,0.33,-,0.24,-,125
nick_richards,尼克 理查兹,3,-,0.3,-,1.7,-,66.70%,-,0%,-,69.80%,-,0.42,-,0.18,-,100
scottie_lewis,斯科蒂 刘易斯,0.5,-,0.5,-,0,-,0%,-,0%,-,50.00%,-,0,-,0.5,-,46
arnoldas_kulboka,阿诺达斯 库尔博卡,0,-,0,-,0,-,0%,-,0%,-,0%,-,0,-,0,-,46
isaiah_thomas,以赛亚 托马斯,8.4,-,1.5,-,1.3,-,40.10%,-,33.70%,-,84.60%,-,0.23,-,0.32,-,0
john_collins,约翰 科林斯,9.4,-,1.2,-,4.6,-,48.70%,-,36.40%,-,50.00%,-,0.2,-,0.4,-,2300
danilo_gallinari,达尼罗 加里纳利,10.2,-,0.8,-,4.2,-,40.00%,-,26.70%,-,100%,-,0,-,0.2,-,1952
bogdan_bogdanovic,波格丹 波格丹诺维奇,14.2,-,3,-,4.8,-,40.80%,-,34.60%,-,80.00%,-,0.25,-,0.5,-,1800
clint_capela,克林特 卡佩拉,2,-,0,-,7.5,-,33.30%,-,0%,-,0%,-,0.5,-,0.5,-,1600
delon_wright,德朗 赖特,8.2,-,2.8,-,4.8,-,51.70%,-,38.50%,-,66.70%,-,0.2,-,0.8,-,900
trae_young,特雷 杨,15.4,-,6,-,5,-,31.90%,-,18.40%,-,78.80%,-,0,-,0.6,-,833
de'andre_hunter,德安德烈 亨特,21.2,-,0.6,-,3.8,-,55.70%,-,46.20%,-,80.00%,-,0.2,-,0.8,-,742
onyeka_okongwu,奥涅卡 奥孔古,5.2,-,0.4,-,5.4,-,56.20%,-,0%,-,80.00%,-,0.8,-,0.8,-,610
lou_williams,路易斯 威廉姆斯,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,500
kevin_knox,凯文 诺克斯,11,-,0,-,1,-,63.60%,-,60.00%,-,100%,-,0,-,1,-,459
kevin_huerter,凯文 赫尔特,9.2,-,3.8,-,3,-,36.20%,-,29.00%,-,75.00%,-,0.6,-,1,-,276
jalen_johnson,杰伦 约翰逊,0,-,0,-,0,-,0%,-,0%,-,0%,-,0,-,0,-,266
sharife_cooper,谢里夫 库珀,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,46
skylar_mays,斯凯拉 梅斯,1,-,0.5,-,0.5,-,100%,-,0%,-,0%,-,0,-,0.5,-,46
chaundee_brown,昌迪 布朗,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
timothe_luwawu-cabarrot,蒂莫泰 卢瓦乌 卡巴罗,1.2,-,0.5,-,0.8,-,50.00%,-,33.30%,-,0%,-,0,-,0,-,0
gorgui_dieng,戈尔吉 吉昂,1.5,-,0,-,1.5,-,50.00%,-,0%,-,100%,-,0,-,0,-,0
gary_harris,加里 哈里斯,11.1,90,1.8,121,2,191,43.10%,-,38.40%,44,88.00%,-,0.2,145,1,49,1961
jonathan_isaac,乔纳森 艾萨克,0,-,0,-,0,-,0.00%,-,0.00%,-,0.00%,-,0,-,0,-,1740
markelle_fultz,马克尔 富尔茨,10.8,-,5.5,-,2.7,-,47.40%,-,23.50%,-,80.60%,-,0.28,-,1.11,-,1650
terrence_ross,特伦斯 罗斯,10,111,1.8,121,2.6,169,39.60%,-,29.00%,-,86.20%,-,0.2,145,0.4,182,1350
jalen_suggs,杰伦 萨格斯,11.8,-,4.4,-,3.6,-,36.10%,-,21.40%,-,77.30%,69,0.4,-,1.23,-,659
mo_bamba,穆罕默德 班巴,10.6,101,1.2,157,8.1,26,48.00%,-,38.10%,50,78.10%,-,1.7,5,0.5,163,597
wendell_carter,温德尔 卡特,15,57,2.8,69,10.4,8,52.50%,16,32.40%,-,69.10%,92,0.7,39,0.6,135,545
franz_wagner,弗朗茨 瓦格纳,15.2,55,2.9,65,4.5,87,46.80%,45,35.40%,91,86.30%,21,0.4,82,0.9,64,501
robin_lopez,罗宾 洛佩斯,7.1,-,1.5,-,3.5,-,55.30%,-,33.30%,-,59.30%,-,0.5,-,0.06,-,500
cole_anthony,科尔 安东尼,16.3,47,5.7,17,5.3,61,39.10%,99,33.80%,108,85.40%,25,0.3,105,0.7,105,329
chuma_okeke,丘马 奥基基,8.6,141,1.7,127,5,72,37.60%,-,31.80%,121,85.20%,-,0.6,49,1.4,13,312
r.j._hampton,RJ 汉普顿,7.6,161,2.5,83,3,151,37.70%,-,34.60%,-,63.10%,-,0.2,145,0.7,105,219
bol_bol,波尔 波尔,2.5,-,0.4,-,1.5,-,55.60%,-,25.00%,-,66.70%,-,0.15,-,0.08,-,206
moritz_wagner,莫里茨 瓦格纳,9,130,1.4,143,3.7,123,50.40%,-,33.30%,-,80.50%,-,0.2,145,0.3,198,173
ignas_brazdeikis,伊格纳斯 布拉兹代基斯,5,-,0.9,-,1.7,-,43.30%,-,31.40%,-,65.60%,-,0.07,-,0.24,-,46
devin_cannady,德文 坎纳迪,10,-,2,-,1.2,-,34.10%,-,40.50%,-,71.40%,-,0.6,-,1,-,0
jeff_dowtin,杰夫 道丁,1.9,-,1.2,-,2.2,-,26.10%,-,11.10%,-,100%,-,0.12,-,0.62,-,0
admiral_schofield,阿德米拉尔 斯科菲尔德,3.8,-,0.7,-,2.2,-,41.50%,-,31.60%,-,80.00%,-,0.14,-,0.11,-,0
nikola_vucevic,尼古拉 武切维奇,19.4,-,3.2,-,12.4,-,44.00%,-,31.00%,-,80.00%,-,1.2,-,0.4,-,2600
demar_derozan,德马尔 德罗赞,20.8,-,4.8,-,5.4,-,41.10%,-,0%,-,86.70%,-,0.4,-,1.8,-,2600
zach_lavine,扎克 拉文,19.2,-,6,-,5.2,-,42.90%,-,37.50%,-,93.30%,-,0.25,-,0.75,-,1950
lonzo_ball,朗佐 鲍尔,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,1860
tristan_thompson,特里斯坦 汤普森,0.8,-,0.4,-,1.6,-,40.00%,-,0%,-,0%,-,0,-,0.2,-,925
alex_caruso,亚历克斯 卡鲁索,6.2,-,4.2,-,2.8,-,39.10%,-,38.90%,-,0%,-,1,-,1.25,-,860
patrick_williams,帕特里克 威廉姆斯,11.8,-,0.8,-,5.4,-,46.80%,-,33.30%,-,72.70%,-,0.6,-,1,-,707
coby_white,科比 怀特,8.4,-,1.8,-,3.4,-,33.30%,-,27.60%,-,80.00%,-,0,-,0.2,-,557
troy_brown,特洛伊 布朗,4,-,1,-,2.7,-,29.40%,-,18.20%,-,0%,-,0,-,0.67,-,337
tony_bradley,托尼 布拉德利,5,-,0.5,-,2,-,100%,-,0%,-,0%,-,0,-,0,-,179
javonte_green,贾文特 格林,1.4,-,0.4,-,3,-,17.60%,-,0%,-,50.00%,-,0,-,1.8,-,167
ayo_dosunmu,阿约 多森姆,4,-,2.2,-,2.6,-,30.80%,-,23.10%,-,100%,-,0,-,0.2,-,93
marko_simonovic,马尔科 西蒙诺维奇,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,93
matt_thomas,马特 托马斯,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
malcolm_hill,马尔科姆・希尔,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
tyler_cook,泰勒 库克,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
derrick_jones,小德里克 琼斯,3.8,-,0.4,-,1.4,-,41.20%,-,27.30%,-,66.70%,-,0,-,0.2,-,0
giannis_antetokounmpo,扬尼斯 阿德托昆博,28.6,-,6.2,-,13.4,-,56.80%,-,15.40%,-,68.30%,-,1.4,-,0.2,-,3930
khris_middleton,克里斯 米德尔顿,14.5,-,7,-,5,-,41.70%,-,42.90%,-,100%,-,0,-,1.5,-,3560
jrue_holiday,朱 霍勒迪,16.4,-,6.8,-,5,-,40.70%,-,34.50%,-,60.00%,-,0.4,-,0.8,-,3013
brook_lopez,布鲁克 洛佩斯,13.2,-,0.8,-,4.6,-,49.00%,-,33.30%,-,91.70%,-,1.6,-,0.4,-,1270
pat_connaughton,帕特 康诺顿,8.4,-,1,-,3.8,-,38.90%,-,35.50%,-,100%,-,0.4,-,0.4,-,494
bobby_portis,博比 波蒂斯,11.6,-,0.8,-,11.4,-,44.90%,-,36.00%,-,55.60%,-,0.2,-,0.2,-,435
grayson_allen,格雷森 阿伦,13,-,0.4,-,3.4,-,60.00%,-,58.30%,-,75.00%,-,0.4,-,1,-,405
george_hill,乔治 希尔,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,400
thanasis_antetokounmpo,萨纳西斯 阿德托昆博,1.3,-,0.3,-,0.7,-,66.70%,-,0%,-,0%,-,0,-,0.33,-,173
jordan_nwora,乔丹 沃拉,0.7,-,0.7,-,0.3,-,16.70%,-,0%,-,0%,-,0,-,0,-,90
sandro_mamukelashvili,桑德罗 马穆凯拉什维利,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,46
wesley_matthews,韦斯利 马修斯,6.8,-,1.6,-,2.8,-,48.00%,-,47.60%,-,0%,-,0.4,-,1,-,0
rayjon_tucker,雷琼 塔克,0,-,0,-,0.7,-,0%,-,0%,-,0%,-,0,-,0,-,0
lindell_wigginton,林德尔 威金顿,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0
jevon_carter,杰文 卡特,2.4,-,1.8,-,2.4,-,41.70%,-,40.00%,-,0%,-,0,-,1.2,-,0
luca_vildoza,卢卡 维尔多萨,0,-,0,-,0,-,0.00%,-,0.00%,-,0.00%,-,0,-,0,-,0
serge_ibaka,赛尔吉 伊巴卡,2.2,-,0,-,2.5,-,30.80%,-,0%,-,50.00%,-,0,-,0,-,0
kevin_love,凯文 乐福,13.6,69,2.2,96,7.2,34,43.00%,79,39.20%,29,83.80%,39,0.2,145,0.3,198,3126
jarrett_allen,贾勒特 阿伦,16,-,1.7,-,10.8,-,67.70%,2,10.00%,-,70.80%,90,1.35,-,0.8,-,2000
caris_levert,卡里斯 勒韦尔,17,-,4.3,-,3.7,-,44.40%,-,32.00%,-,75.60%,-,0.4,-,0.88,-,1620
lauri_markkanen,劳里 马尔卡宁,14.8,61,1.3,147,5.7,51,44.50%,64,35.80%,85,86.80%,17,0.5,66,0.7,105,1569
cedi_osman,切迪 奥斯曼,10.7,100,2,109,2.2,187,43.40%,-,35.70%,88,65.90%,-,0.2,145,0.8,85,884
evan_mobley,埃文 莫布利,15,57,2.5,83,8.3,24,50.80%,20,25.00%,-,66.30%,98,1.7,5,0.8,85,808
darius_garland,达里厄斯 加兰,21.7,16,8.6,5,3.3,139,46.20%,49,38.30%,45,89.20%,7,0.1,185,1.3,17,672
isaac_okoro,艾萨克 奥科罗,8.8,135,1.8,121,3,151,48.70%,-,35.70%,-,76.80%,-,0.3,105,0.8,85,640
collin_sexton,科林 塞克斯顿,16,-,2.1,-,3.3,-,45.30%,-,24.40%,-,74.40%,-,0,-,0.91,-,499
rajon_rondo,拉简 隆多,4.8,-,4.4,-,2.8,-,38.40%,-,35.20%,-,73.10%,-,0.15,-,0.77,-,264
dylan_windler,迪伦 温德勒,2.2,-,0.7,-,1.8,-,37.80%,-,30.00%,-,83.30%,-,0.06,-,0.28,-,213
lamar_stevens,拉马尔 史蒂文斯,6.1,183,0.7,195,2.6,169,48.90%,-,26.20%,-,70.70%,-,0.3,105,0.5,163,152
dean_wade,迪恩 韦德,5.3,-,1,-,2.9,-,45.60%,-,35.90%,-,66.70%,-,0.14,-,0.59,-,152
brandon_goodwin,布兰登 古德温,4.8,-,2.5,-,1.9,-,41.60%,-,34.50%,-,63.20%,-,0.03,-,0.69,-,0
moses_brown,摩西 布朗,4.3,-,0,-,3.4,-,59.30%,-,0%,-,59.70%,-,0.42,-,0.17,-,0
ed_davis,埃德 戴维斯,0.9,-,0.2,-,2.1,-,68.80%,-,0%,-,42.90%,-,0.29,-,0.1,-,0
tim_frazier,蒂姆 弗雷泽,3.2,-,2.8,-,1.6,-,31.10%,-,35.30%,-,55.60%,-,0.08,-,0.25,-,0
buddy_hield,巴迪 希尔德,15.6,-,2.8,-,4.4,-,40.70%,-,36.60%,-,87.40%,-,0.31,-,0.89,-,2443
malcolm_brogdon,马尔科姆 布罗格登,19.1,-,5.9,-,5.1,-,44.80%,-,31.20%,-,85.60%,24,0.39,-,0.86,-,1976
myles_turner,迈尔斯 特纳,12.9,-,1,-,7.1,-,50.80%,-,33.20%,-,75.20%,-,2.81,-,0.67,-,1750
ricky_rubio,里基 卢比奥,13.3,-,6.5,-,4.2,-,36.60%,-,34.10%,-,85.10%,-,0.21,-,1.48,-,1700
t.j._warren,TJ 沃伦,0,-,0,-,0,-,0.00%,-,0.00%,-,0.00%,-,0,-,0,-,1081
t.j._mcconnell,TJ 麦康奈尔,8.5,-,4.9,-,3.3,-,48.10%,-,30.30%,-,82.60%,-,0.37,-,1.11,-,750
jalen_smith,杰伦 史密斯,9.2,-,0.5,-,6,-,50.30%,-,32.80%,-,76.50%,-,0.8,-,0.29,-,425
tyrese_haliburton,泰雷斯 哈利伯顿,15.3,-,8.2,-,4,-,47.40%,-,41.40%,-,84.20%,-,0.64,-,1.74,-,383
chris_duarte,克里斯 杜阿尔特,13.1,-,2.1,-,4.1,-,43.20%,-,36.90%,67,80.40%,-,0.18,-,1.02,-,375
goga_bitadze,戈加 比塔泽,7,-,1.1,-,3.6,-,52.00%,-,28.70%,-,68.10%,-,0.84,-,0.44,-,281
isaiah_jackson,以赛亚 杰克逊,8.2,-,0.3,-,4.2,-,56.30%,-,31.20%,-,68.20%,-,1.44,-,0.67,-,245
oshae_brissett,奥谢 布里塞特,9.1,128,1.1,167,5.3,61,41.10%,-,35.00%,95,69.50%,-,0.4,82,0.7,105,170
duane_washington,杜安 华盛顿,9.9,-,1.8,-,1.8,-,40.50%,-,37.70%,-,75.40%,-,0.06,-,0.54,-,46
terry_taylor,泰瑞 泰勒,9.6,-,1.2,-,5.2,-,61.60%,-,31.60%,-,70.60%,-,0.27,-,0.42,-,0
lance_stephenson,兰斯 史蒂芬森,8.3,-,3.6,-,2.8,-,45.50%,-,30.00%,-,78.80%,-,0.09,-,0.5,-,0
gabe_york,加比 约克,4,-,2,-,1,-,28.60%,-,16.70%,-,60.00%,-,0.5,-,1,-,0
nate_hinton,内特 辛顿,0,-,0,-,0,-,0%,-,0%,-,0%,-,0,-,0,-,0
jerami_grant,杰拉米 格兰特,19.2,-,2.4,-,4.1,-,42.60%,-,35.80%,85,83.80%,39,1.04,-,0.94,-,1905
kelly_olynyk,凯利 奥利尼克,9.1,-,2.8,-,4.4,-,44.80%,-,33.60%,-,77.50%,-,0.47,-,0.78,-,1220
cade_cunningham,凯德 坎宁安,17.4,38,5.6,18,5.5,55,41.60%,87,31.40%,125,84.50%,34,0.7,39,1.2,23,1005
marvin_bagley,马文 巴格利,11.2,-,0.8,-,7,-,50.40%,-,23.70%,-,66.30%,-,0.38,-,0.46,-,896
killian_hayes,基利安 海斯,6.9,174,4.2,37,3.2,143,38.30%,-,26.30%,-,77.00%,-,0.5,66,1.2,23,530
hamidou_diallo,哈米杜 迪亚洛,11,93,1.3,147,4.8,78,49.60%,-,24.70%,-,65.00%,-,0.3,105,1.2,23,520
cory_joseph,科里 约瑟夫,8,156,3.6,46,2.7,164,44.50%,-,41.40%,-,88.50%,-,0.3,105,0.6,135,491
isaiah_stewart,以赛亚 斯图尔特,8.3,147,1.2,157,8.7,18,50.90%,-,32.60%,-,71.80%,-,1.1,14,0.3,198,312
frank_jackson,弗兰克 杰克逊,10.6,-,1,-,1.6,-,40.20%,-,30.80%,128,82.70%,-,0.15,-,0.51,-,300
saddiq_bey,萨迪克 贝,16.1,50,2.8,69,5.4,57,39.60%,97,34.60%,98,82.70%,47,0.2,145,0.9,64,269
rodney_mcgruder,罗德尼 麦格鲁德,5.4,-,0.9,-,2.2,-,43.40%,-,39.70%,-,73.10%,-,0.14,-,0.41,-,194
saben_lee,萨宾 李,5.6,-,2.9,-,2.3,-,39.00%,-,23.30%,-,78.90%,-,0.32,-,0.95,-,149
isaiah_livers,以赛亚 利弗斯,6.4,-,1.2,-,3,-,45.60%,-,42.20%,-,85.70%,-,0.37,-,0.68,-,106
luka_garza,卢卡 加尔扎,5.8,-,0.6,-,3.1,-,44.90%,-,32.70%,-,62.30%,-,0.19,-,0.28,-,46
jamorko_pickett,杰莫科 皮克特,3.8,-,0.5,-,2.5,-,36.00%,-,33.30%,-,50.00%,-,0.54,-,0,-,0
braxton_key,布拉克斯顿 基,7.2,-,1,-,4.6,-,45.80%,-,28.60%,-,53.80%,-,1.09,-,1,-,0
carsen_edwards,卡森 爱德华兹,5.8,-,3.5,-,1.5,-,30.00%,-,25.00%,-,100%,-,0,-,0.5,-,0
